season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
10,Main,Vladimir,6,7.9,3,3,2,2,1,66.7,1.67,2.0,1.0,1.33,278.33,9.29,11.8,396.0,16500.0,550.0,28.6,17.9,22.1
10,Main,Swain,6,7.9,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Main,Miss Fortune,5,6.6,0,5,4,3,2,60.0,3.6,2.2,6.4,4.55,344.4,9.92,15.3,440.0,19000.0,547.0,67.6,24.3,24.4
10,Main,Jarvan IV,5,6.6,2,3,2,2,1,66.7,1.0,2.33,11.0,5.14,168.0,4.97,10.2,301.0,7100.0,209.0,81.8,6.8,16.4
10,Main,Kassadin,5,6.6,3,2,2,0,2,0.0,2.5,6.0,0.5,0.5,201.5,6.87,9.8,333.0,8900.0,303.0,42.9,35.7,22.1
10,Main,Mordekaiser,5,6.6,3,2,2,0,2,0.0,4.0,3.5,2.5,1.86,281.0,7.37,14.2,373.0,14400.0,379.0,68.4,42.1,22.7
10,Main,Malphite,4,5.3,0,4,4,2,2,50.0,2.0,1.75,6.5,4.86,201.0,7.03,10.2,356.0,10200.0,357.0,66.7,15.7,20.3
10,Main,Yuumi,4,5.3,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Main,Taric,3,3.9,0,3,2,1,2,33.3,0.0,1.67,4.33,2.6,31.67,1.09,6.3,215.0,1200.0,42.0,59.1,0.0,12.4
10,Main,Draven,3,3.9,1,2,2,1,1,50.0,2.5,1.5,4.5,4.67,277.0,8.63,13.8,431.0,12200.0,379.0,66.7,23.8,22.9
10,Main,Fiora,2,2.6,0,2,2,1,1,50.0,5.0,4.0,2.5,1.88,320.5,9.4,14.8,434.0,21300.0,623.0,53.6,35.7,24.6
10,Main,Vel'Koz,2,2.6,0,2,2,0,2,0.0,1.5,3.0,1.0,0.83,248.5,8.95,10.0,359.0,13500.0,486.0,38.5,23.1,22.8
10,Main,Ziggs,2,2.6,0,2,1,0,2,0.0,1.0,3.5,0.5,0.43,250.0,7.88,11.1,350.0,19900.0,629.0,30.0,20.0,22.1
10,Main,Zilean,2,2.6,0,2,1,0,2,0.0,0.5,1.0,4.0,4.5,250.5,7.68,10.7,328.0,9500.0,290.0,60.0,6.7,20.8
10,Main,Karthus,2,2.6,1,1,1,0,1,0.0,3.0,6.0,7.0,1.67,242.0,7.43,11.6,355.0,25200.0,773.0,66.7,20.0,21.8
10,Main,Gnar,1,1.3,0,1,1,1,0,100.0,1.0,2.0,7.0,4.0,281.0,8.55,13.0,395.0,11700.0,356.0,50.0,6.3,20.0
10,Main,Maokai,1,1.3,0,1,1,1,0,100.0,1.0,3.0,8.0,3.0,245.0,8.17,11.0,368.0,16600.0,553.0,69.2,7.7,18.5
10,Main,Nocturne,1,1.3,0,1,1,1,0,100.0,5.0,3.0,5.0,3.33,266.0,8.27,13.3,415.0,10600.0,331.0,66.7,33.3,22.6
10,Main,Rengar,1,1.3,0,1,1,1,0,100.0,2.0,1.0,10.0,12.0,211.0,6.08,11.9,344.0,10600.0,306.0,60.0,10.0,18.4
10,Main,Singed,1,1.3,0,1,1,1,0,100.0,2.0,3.0,8.0,3.33,263.0,7.8,12.9,382.0,11500.0,341.0,66.7,13.3,20.6
10,Main,Vayne,1,1.3,0,1,1,1,0,100.0,11.0,1.0,2.0,13.0,238.0,7.93,14.1,469.0,12100.0,404.0,56.5,47.8,23.8
10,Main,Kayle,1,1.3,0,1,1,0,1,0.0,0.0,2.0,0.0,0.0,250.0,9.33,9.9,368.0,13400.0,499.0,0.0,0.0,23.3
10,Main,Kha'Zix,1,1.3,0,1,1,0,1,0.0,2.0,6.0,4.0,1.0,154.0,5.18,8.8,297.0,9800.0,330.0,100.0,33.3,18.8
10,Main,LeBlanc,1,1.3,0,1,1,0,1,0.0,2.0,4.0,4.0,1.5,289.0,7.83,13.7,371.0,11900.0,323.0,60.0,20.0,23.1
10,Main,Quinn,1,1.3,0,1,1,0,1,0.0,2.0,4.0,6.0,2.0,262.0,8.15,12.7,394.0,16800.0,523.0,88.9,22.2,22.1
10,Main,Ryze,1,1.3,0,1,1,0,1,0.0,1.0,4.0,4.0,1.25,177.0,7.45,7.7,324.0,5900.0,249.0,62.5,12.5,20.2
10,Main,Urgot,1,1.3,0,1,1,0,1,0.0,3.0,4.0,1.0,1.0,239.0,7.27,11.5,349.0,8000.0,243.0,66.7,50.0,22.1
10,Main,Morgana,1,1.3,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Play in,Miss Fortune,37,97.4,8,29,10,16,13,55.2,4.69,2.17,5.21,4.56,281.55,9.5,13.2,446.0,16300.0,550.0,67.5,32.0,24.6
11,Play in,Lee Sin,36,94.7,15,21,8,11,10,52.4,2.95,3.33,6.29,2.77,163.43,5.64,9.9,342.0,9100.0,314.0,63.6,20.3,19.1
11,Play in,Irelia,36,94.7,26,10,5,5,5,50.0,1.9,3.5,4.0,1.69,265.0,8.71,12.0,394.0,11200.0,368.0,48.8,15.7,21.9
11,Play in,Lucian,35,92.1,21,14,7,6,8,42.9,4.29,3.29,5.29,2.91,275.29,8.93,12.8,416.0,15200.0,494.0,64.1,28.7,23.5
11,Play in,Leona,33,86.8,9,24,8,19,5,79.2,0.79,3.38,9.92,3.17,37.04,1.21,7.6,247.0,3900.0,127.0,60.2,4.4,12.9
11,Play in,Xin Zhao,29,76.3,14,15,7,5,10,33.3,2.87,3.6,5.4,2.3,161.93,5.19,10.1,323.0,10000.0,320.0,61.1,21.2,18.5
11,Play in,Ryze,26,68.4,17,9,5,4,5,44.4,3.56,3.44,5.11,2.52,276.0,8.66,13.0,406.0,12900.0,406.0,53.8,22.1,22.0
11,Play in,LeBlanc,26,68.4,20,6,5,2,4,33.3,2.0,2.5,4.17,2.47,221.0,7.95,10.1,364.0,15900.0,571.0,60.7,19.7,21.6
11,Play in,Kennen,24,63.2,16,8,5,4,4,50.0,3.63,3.88,4.75,2.16,228.13,7.3,12.0,384.0,17000.0,543.0,56.8,24.6,21.8
11,Play in,Camille,23,60.5,17,6,4,4,2,66.7,3.83,3.33,5.83,2.9,204.33,7.2,11.4,401.0,11200.0,393.0,60.4,24.0,22.0
11,Play in,Ezreal,22,57.9,8,14,7,6,8,42.9,4.14,2.64,3.64,2.95,293.07,9.35,13.4,427.0,21200.0,678.0,59.2,31.5,24.3
11,Play in,Rakan,22,57.9,8,14,7,6,8,42.9,0.57,3.0,8.79,3.12,39.5,1.3,7.1,235.0,4100.0,135.0,70.1,4.3,13.2
11,Play in,Sylas,22,57.9,9,13,8,6,7,46.2,3.46,3.38,5.85,2.75,233.15,7.93,11.4,387.0,15100.0,514.0,62.4,23.2,21.6
11,Play in,Amumu,22,57.9,11,11,7,3,8,27.3,0.82,4.45,7.27,1.82,32.45,1.12,6.5,225.0,4300.0,149.0,63.1,6.4,13.0
11,Play in,Jayce,18,47.4,7,11,7,3,8,27.3,3.0,3.64,4.27,2.0,238.91,7.7,12.1,390.0,17400.0,562.0,59.7,24.6,22.7
11,Play in,Qiyana,18,47.4,13,5,4,4,1,80.0,2.2,2.0,5.6,3.9,187.0,6.17,10.4,344.0,10700.0,354.0,59.1,16.7,18.5
11,Play in,Aphelios,17,44.7,10,7,7,5,2,71.4,4.14,1.29,4.86,7.0,262.86,9.74,12.8,473.0,13100.0,484.0,52.1,24.0,24.3
11,Play in,Zoe,16,42.1,11,5,5,3,2,60.0,2.6,1.4,5.4,5.71,250.8,7.68,11.9,364.0,17600.0,541.0,52.6,17.1,20.2
11,Play in,Lillia,15,39.5,7,8,5,4,4,50.0,4.25,2.88,6.25,3.65,218.63,6.76,12.2,378.0,15200.0,469.0,66.7,27.0,20.8
11,Play in,Gwen,15,39.5,10,5,3,3,2,60.0,2.2,2.0,7.2,4.7,227.2,7.49,11.5,379.0,15800.0,520.0,58.0,13.6,20.7
11,Play in,Tryndamere,14,36.8,9,5,4,3,2,60.0,3.8,1.2,5.8,8.0,268.6,9.23,12.9,443.0,12900.0,443.0,60.8,24.1,23.4
11,Play in,Braum,12,31.6,5,7,4,3,4,42.9,0.43,2.29,9.14,4.19,33.14,1.07,7.1,229.0,5600.0,180.0,61.5,2.8,12.9
11,Play in,Jarvan IV,12,31.6,6,6,6,3,3,50.0,3.33,3.5,8.0,3.24,182.17,6.13,10.5,354.0,9600.0,325.0,62.4,18.3,19.2
11,Play in,Twisted Fate,12,31.6,8,4,2,2,2,50.0,2.75,2.75,10.0,4.64,211.0,6.48,12.3,379.0,16000.0,493.0,79.7,17.2,21.2
11,Play in,Yone,12,31.6,8,4,3,0,4,0.0,1.5,4.5,4.5,1.33,254.0,7.75,11.6,356.0,11300.0,344.0,50.0,12.5,21.1
11,Play in,Talon,10,26.3,4,6,3,3,3,50.0,4.17,4.33,5.17,2.15,196.67,6.2,11.4,361.0,13300.0,418.0,63.6,28.4,20.1
11,Play in,Gnar,10,26.3,4,6,5,2,4,33.3,2.83,3.33,3.0,1.75,237.17,7.35,11.8,365.0,13200.0,409.0,47.9,23.3,21.3
11,Play in,Draven,10,26.3,9,1,1,1,0,100.0,10.0,2.0,4.0,7.0,353.0,9.64,20.5,561.0,28300.0,772.0,73.7,52.6,28.6
11,Play in,Nami,9,23.7,4,5,4,2,3,40.0,2.0,3.0,10.8,4.27,14.6,0.5,7.5,255.0,5900.0,201.0,88.9,13.9,14.6
11,Play in,Gangplank,9,23.7,5,4,3,1,3,25.0,3.75,3.5,3.5,2.07,199.5,7.96,11.1,442.0,15600.0,623.0,56.9,29.4,24.0
11,Play in,Orianna,7,18.4,2,5,4,2,3,40.0,3.4,2.6,4.6,3.08,318.0,9.45,14.3,424.0,17400.0,516.0,65.6,27.9,24.4
11,Play in,Syndra,7,18.4,3,4,2,4,0,100.0,2.5,2.75,10.0,4.55,245.25,8.34,11.9,404.0,13300.0,452.0,55.6,11.1,20.2
11,Play in,Nidalee,7,18.4,3,4,2,3,1,75.0,3.75,1.25,8.5,9.8,143.5,5.71,9.6,381.0,11200.0,444.0,80.3,24.6,19.9
11,Play in,Azir,6,15.8,2,4,2,3,1,75.0,1.5,1.5,2.5,2.67,278.25,10.04,11.9,429.0,13900.0,502.0,26.2,9.8,22.3
11,Play in,Thresh,6,15.8,2,4,4,2,2,50.0,1.0,2.75,8.75,3.55,28.25,1.06,6.7,250.0,2900.0,109.0,67.2,6.9,13.2
11,Play in,Poppy,6,15.8,5,1,1,1,0,100.0,2.0,3.0,7.0,3.0,183.0,6.98,9.8,375.0,11800.0,449.0,39.1,8.7,17.9
11,Play in,Wukong,5,13.2,0,5,5,3,2,60.0,4.6,1.8,4.2,4.89,205.0,7.11,11.3,393.0,10500.0,364.0,55.7,29.1,21.7
11,Play in,Graves,5,13.2,0,5,4,2,3,40.0,3.8,3.0,5.0,2.93,221.2,7.11,11.8,378.0,16900.0,544.0,64.7,27.9,21.2
11,Play in,Renekton,5,13.2,1,4,3,2,2,50.0,2.5,3.25,2.25,1.46,241.0,8.35,11.5,397.0,12400.0,428.0,38.8,20.4,21.8
11,Play in,Kai'Sa,5,13.2,2,3,2,2,1,66.7,6.0,2.0,4.0,5.0,288.33,9.14,14.0,444.0,16400.0,520.0,58.8,35.3,22.8
11,Play in,Jax,5,13.2,3,2,2,1,1,50.0,4.5,2.5,5.5,4.0,297.0,8.72,14.6,429.0,21100.0,620.0,71.4,32.1,23.7
11,Play in,Kassadin,5,13.2,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Play in,Taliyah,4,10.5,1,3,2,3,0,100.0,6.33,2.0,8.33,7.33,198.67,7.11,12.0,429.0,11600.0,414.0,68.8,29.7,20.1
11,Play in,Aatrox,4,10.5,1,3,3,2,1,66.7,2.67,2.0,7.33,5.0,231.67,8.0,11.7,403.0,13900.0,479.0,62.5,16.7,21.4
11,Play in,Sett,4,10.5,1,3,3,2,1,66.7,2.67,3.33,5.33,2.4,198.0,6.68,10.5,353.0,11600.0,392.0,66.7,22.2,19.8
11,Play in,Olaf,4,10.5,1,3,2,1,2,33.3,6.33,3.0,4.67,3.67,202.0,6.5,12.0,385.0,16200.0,520.0,70.2,40.4,20.7
11,Play in,Galio,4,10.5,3,1,1,0,1,0.0,0.0,2.0,4.0,2.0,177.0,7.19,7.3,298.0,7400.0,302.0,80.0,0.0,20.2
11,Play in,Yuumi,4,10.5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Play in,Gragas,3,7.9,0,3,3,3,0,100.0,1.67,1.33,8.67,7.75,189.0,5.96,10.7,338.0,15000.0,474.0,70.5,11.4,17.4
11,Play in,Fiora,3,7.9,0,3,3,2,1,66.7,4.67,1.67,2.67,4.4,230.67,8.77,11.8,448.0,14300.0,543.0,57.9,36.8,24.3
11,Play in,Akali,3,7.9,0,3,3,1,2,33.3,1.33,3.0,2.33,1.22,203.67,7.85,9.0,345.0,9400.0,362.0,32.4,11.8,20.4
11,Play in,Kled,3,7.9,0,3,2,1,2,33.3,1.67,4.0,4.33,1.5,179.0,6.43,9.0,324.0,8400.0,301.0,41.9,11.6,18.8
11,Play in,Urgot,3,7.9,1,2,1,2,0,100.0,7.0,0.5,5.5,25.0,230.5,7.67,13.1,435.0,11200.0,372.0,64.1,35.9,22.3
11,Play in,Alistar,3,7.9,1,2,2,0,2,0.0,0.0,3.0,1.5,0.5,32.0,1.19,5.3,199.0,2500.0,94.0,33.3,0.0,13.0
11,Play in,Malphite,3,7.9,2,1,1,1,0,100.0,4.0,2.0,14.0,9.0,259.0,6.85,14.8,392.0,16000.0,424.0,69.2,15.4,19.7
11,Play in,Nocturne,3,7.9,2,1,1,1,0,100.0,2.0,3.0,12.0,4.67,168.0,5.98,10.5,373.0,11100.0,396.0,56.0,8.0,17.6
11,Play in,Sion,3,7.9,2,1,1,1,0,100.0,2.0,1.0,9.0,11.0,184.0,7.15,8.9,346.0,4400.0,171.0,57.9,10.5,18.3
11,Play in,Nautilus,3,7.9,2,1,1,0,1,0.0,0.0,4.0,2.0,0.5,37.0,1.46,5.0,197.0,2000.0,78.0,33.3,0.0,13.6
11,Play in,Ziggs,3,7.9,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Play in,Senna,2,5.3,0,2,1,1,1,50.0,1.5,1.5,12.5,9.33,54.0,1.73,9.2,296.0,11900.0,381.0,84.8,9.1,16.7
11,Play in,Xayah,2,5.3,0,2,2,1,1,50.0,2.5,3.0,4.5,2.33,287.5,9.5,12.3,405.0,16800.0,556.0,46.7,16.7,22.5
11,Play in,Zed,2,5.3,0,2,2,1,1,50.0,1.5,3.0,1.5,1.0,191.0,7.09,8.9,331.0,9000.0,333.0,30.0,15.0,19.2
11,Play in,Trundle,2,5.3,0,2,2,0,2,0.0,1.0,4.5,6.0,1.56,97.0,3.04,8.0,251.0,7100.0,221.0,77.8,11.1,15.7
11,Play in,Tahm Kench,2,5.3,1,1,1,1,0,100.0,4.0,0.0,7.0,11.0,286.0,7.81,14.7,401.0,11700.0,319.0,57.9,21.1,20.5
11,Play in,Kalista,2,5.3,1,1,1,0,1,0.0,1.0,4.0,3.0,1.0,246.0,8.75,10.7,381.0,9800.0,349.0,44.4,11.1,20.9
11,Play in,Karma,2,5.3,1,1,1,0,1,0.0,1.0,3.0,3.0,1.33,35.0,0.86,8.3,203.0,9200.0,225.0,80.0,20.0,12.4
11,Play in,Ornn,2,5.3,1,1,1,0,1,0.0,1.0,2.0,3.0,2.0,183.0,7.28,7.9,313.0,8100.0,323.0,80.0,20.0,20.5
11,Play in,Rumble,2,5.3,1,1,1,0,1,0.0,6.0,2.0,5.0,5.5,268.0,8.24,12.7,391.0,21100.0,647.0,50.0,27.3,21.9
11,Play in,Sejuani,2,5.3,1,1,1,0,1,0.0,0.0,4.0,5.0,1.25,220.0,5.4,11.3,278.0,10600.0,260.0,100.0,0.0,17.1
11,Play in,Yasuo,2,5.3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Play in,Bard,1,2.6,0,1,1,1,0,100.0,1.0,0.0,10.0,11.0,22.0,0.64,8.6,250.0,5500.0,160.0,64.7,5.9,13.4
11,Play in,Lissandra,1,2.6,0,1,1,1,0,100.0,3.0,2.0,7.0,5.0,208.0,8.85,9.6,410.0,12800.0,544.0,47.6,14.3,19.4
11,Play in,Jhin,1,2.6,0,1,1,0,1,0.0,1.0,0.0,1.0,2.0,303.0,10.66,11.6,407.0,7100.0,248.0,50.0,25.0,26.5
11,Play in,Lulu,1,2.6,0,1,1,0,1,0.0,1.0,3.0,3.0,1.33,14.0,0.48,6.5,222.0,2800.0,97.0,80.0,20.0,14.2
11,Play in,Rell,1,2.6,0,1,1,0,1,0.0,1.0,2.0,8.0,4.5,28.0,1.09,5.9,230.0,4100.0,159.0,81.8,9.1,13.8
11,Play in,Shen,1,2.6,0,1,1,0,1,0.0,0.0,5.0,2.0,0.4,137.0,6.29,6.0,274.0,6800.0,312.0,25.0,0.0,17.7
11,Play in,Tristana,1,2.6,0,1,1,0,1,0.0,1.0,4.0,3.0,1.0,220.0,7.73,9.6,337.0,3600.0,125.0,66.7,16.7,21.2
11,Play in,Vayne,1,2.6,0,1,1,0,1,0.0,4.0,3.0,2.0,2.0,181.0,7.87,10.7,464.0,10300.0,449.0,66.7,44.4,28.0
11,Play in,Viego,1,2.6,0,1,1,0,1,0.0,3.0,3.0,3.0,2.0,128.0,5.57,9.2,402.0,11100.0,484.0,66.7,33.3,24.3
11,Play in,Seraphine,1,2.6,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Main,Lee Sin,82,98.8,45,37,16,22,15,59.5,3.16,2.43,7.59,4.42,190.73,5.35,11.9,333.0,9100.0,256.0,73.0,21.5,18.6
11,Main,Twisted Fate,80,96.4,56,24,12,13,11,54.2,1.96,1.83,7.92,5.39,276.96,8.0,14.0,404.0,14400.0,416.0,70.5,14.0,22.4
11,Main,Yuumi,80,96.4,65,15,10,8,7,53.3,1.4,1.4,9.53,7.81,7.53,0.23,7.7,242.0,10400.0,324.0,79.6,10.2,13.6
11,Main,LeBlanc,74,89.2,51,23,12,13,10,56.5,4.13,1.91,5.26,4.91,288.87,8.32,13.8,397.0,20600.0,594.0,69.2,30.4,22.5
11,Main,Graves,65,78.3,29,36,15,21,15,58.3,2.94,2.44,4.19,2.92,305.94,9.34,14.0,427.0,15500.0,473.0,55.7,23.0,23.6
11,Main,Aphelios,65,78.3,34,31,11,19,12,61.3,3.71,2.03,4.0,3.79,311.94,9.33,14.5,433.0,15000.0,448.0,58.9,28.3,24.0
11,Main,Lucian,65,78.3,45,20,7,12,8,60.0,3.95,2.85,5.75,3.4,336.9,9.35,15.5,429.0,19500.0,542.0,67.8,27.6,24.0
11,Main,Jarvan IV,64,77.1,33,31,16,14,17,45.2,2.19,3.1,7.94,3.27,178.39,5.16,11.0,318.0,8400.0,243.0,82.8,17.9,18.1
11,Main,Miss Fortune,61,73.5,10,51,15,22,29,43.1,3.51,2.16,4.16,3.55,327.49,9.32,14.9,425.0,15700.0,446.0,58.4,26.7,24.2
11,Main,Ryze,56,67.5,32,24,11,11,13,45.8,2.96,2.58,5.04,3.1,299.54,8.94,13.6,408.0,11900.0,356.0,62.3,23.1,22.8
11,Main,Xin Zhao,55,66.3,25,30,13,10,20,33.3,1.9,3.53,5.33,2.05,169.5,4.98,10.3,304.0,9500.0,280.0,69.3,18.2,17.9
11,Main,Leona,54,65.1,22,32,14,11,21,34.4,0.69,3.22,6.28,2.17,38.06,1.13,7.4,222.0,3200.0,95.0,58.2,5.7,12.8
11,Main,Irelia,54,65.1,45,9,9,2,7,22.2,2.11,4.67,3.89,1.29,294.78,8.75,13.4,398.0,9400.0,281.0,62.8,22.1,23.3
11,Main,Kennen,51,61.4,29,22,14,16,6,72.7,4.27,3.36,6.73,3.27,279.55,7.53,14.6,392.0,18800.0,506.0,60.5,23.5,21.2
